experiment_type,parameter_value,run,hidden_layers,activation,optimizer,batch_size,epochs,training_time,train_mse,train_rmse,train_mae,test_mse,test_rmse,test_mae,train_accuracy,test_accuracy,train_loss,test_loss
layers,1_layers,1,[32],relu,sgd,32,50,5.470322847366333,0.7083333333333333,0.8416254115301731,0.7083333333333333,0.725,0.85146931829632,0.725,0.2916666666666667,0.275,1.7403732272241557,1.7607680529547436
layers,1_layers,2,[32],relu,sgd,32,50,1.825836181640625,0.78125,0.8838834764831844,0.78125,0.7583333333333333,0.8708233651742088,0.7583333333333333,0.21875,0.24166666666666667,1.761767842020569,1.7584684266626451
layers,1_layers,3,[32],relu,sgd,32,50,3.8560256958007812,0.6875,0.82915619758885,0.6875,0.75,0.8660254037844386,0.75,0.3125,0.25,1.726705608422654,1.7530733629904092
layers,1_layers,4,[32],relu,sgd,32,50,1.260869026184082,0.76875,0.8767838958375092,0.76875,0.8,0.8944271909999159,0.8,0.23125,0.2,1.733297015158494,1.755196024588019
layers,1_layers,5,[32],relu,sgd,32,50,1.4921901226043701,0.7729166666666667,0.8791567929935289,0.7729166666666667,0.8166666666666667,0.9036961141150639,0.8166666666666667,0.22708333333333333,0.18333333333333332,1.751710438617587,1.7762555844755743
layers,1_layers,6,[32],relu,sgd,32,50,1.854686975479126,0.71875,0.8477912478906585,0.71875,0.775,0.8803408430829505,0.775,0.28125,0.225,1.7171106657302717,1.7573744804924438
layers,1_layers,7,[32],relu,sgd,32,50,2.467764377593994,0.76875,0.8767838958375092,0.76875,0.775,0.8803408430829505,0.775,0.23125,0.225,1.7534270390660622,1.762021598336502
layers,1_layers,8,[32],relu,sgd,32,50,4.178068161010742,0.7708333333333334,0.8779711460710616,0.7708333333333334,0.775,0.8803408430829505,0.775,0.22916666666666666,0.225,1.7484400252172283,1.7704093810444514
layers,1_layers,9,[32],relu,sgd,32,50,1.9398140907287598,0.71875,0.8477912478906585,0.71875,0.7166666666666667,0.8465616732800196,0.7166666666666667,0.28125,0.2833333333333333,1.7400919499521197,1.7555466782311764
layers,1_layers,10,[32],relu,sgd,32,50,4.708216667175293,0.7979166666666666,0.893261813057441,0.7979166666666666,0.825,0.9082951062292475,0.825,0.20208333333333334,0.175,1.774616722379561,1.8336435457545108
layers,2_layers,1,"[64, 32]",relu,sgd,32,50,6.31306266784668,0.7395833333333333,0.8599903100229288,0.7395833333333333,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.2604166666666667,0.21666666666666667,1.7296701194961508,1.7683875968228664
layers,2_layers,2,"[64, 32]",relu,sgd,32,50,8.153494596481323,0.75,0.8660254037844386,0.75,0.8333333333333334,0.9128709291752769,0.8333333333333334,0.25,0.16666666666666666,1.726417143888809,1.7635665844580588
layers,2_layers,3,"[64, 32]",relu,sgd,32,50,2.1503374576568604,0.6708333333333334,0.8190441583537077,0.6708333333333334,0.675,0.8215838362577492,0.675,0.32916666666666666,0.325,1.709038270053508,1.7283054488422878
layers,2_layers,4,"[64, 32]",relu,sgd,32,50,9.557081460952759,0.75625,0.8696263565463043,0.75625,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.24375,0.25833333333333336,1.751773003722343,1.7732951736324074
layers,2_layers,5,"[64, 32]",relu,sgd,32,50,2.6340813636779785,0.7208333333333333,0.8490190417966686,0.7208333333333333,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.2791666666666667,0.21666666666666667,1.7323180302290377,1.759363015644864
layers,2_layers,6,"[64, 32]",relu,sgd,32,50,2.1533429622650146,0.7125,0.8440971508067067,0.7125,0.7916666666666666,0.8897565210026093,0.7916666666666666,0.2875,0.20833333333333334,1.7199153479889233,1.7620457528851006
layers,2_layers,7,"[64, 32]",relu,sgd,32,50,1.9710464477539062,0.7458333333333333,0.8636164272021076,0.7458333333333333,0.7833333333333333,0.8850612031567836,0.7833333333333333,0.25416666666666665,0.21666666666666667,1.7681364920477847,1.797457110820451
layers,2_layers,8,"[64, 32]",relu,sgd,32,50,2.2488839626312256,0.66875,0.8177713616898062,0.66875,0.6916666666666667,0.83166499665831,0.6916666666666667,0.33125,0.30833333333333335,1.6996754056117875,1.7013933852252625
layers,2_layers,9,"[64, 32]",relu,sgd,32,50,2.1195313930511475,0.74375,0.862409415533017,0.74375,0.7333333333333334,0.8563488385776753,0.7333333333333334,0.25625,0.26666666666666666,1.7395685741522156,1.7321504651517623
layers,2_layers,10,"[64, 32]",relu,sgd,32,50,2.733834981918335,0.73125,0.8551315688243535,0.73125,0.75,0.8660254037844386,0.75,0.26875,0.25,1.742895913938638,1.7768599694810632
layers,3_layers,1,"[128, 64, 32]",relu,sgd,32,50,2.920673131942749,0.7770833333333333,0.8815233027738594,0.7770833333333333,0.7916666666666666,0.8897565210026093,0.7916666666666666,0.22291666666666668,0.20833333333333334,1.738752328949552,1.7512738655069797
layers,3_layers,2,"[128, 64, 32]",relu,sgd,32,50,1.834181547164917,0.6645833333333333,0.8152198067597065,0.6645833333333333,0.75,0.8660254037844386,0.75,0.33541666666666664,0.25,1.7271061315013918,1.7668147602557107
layers,3_layers,3,"[128, 64, 32]",relu,sgd,32,50,1.9298408031463623,0.7229166666666667,0.8502450627123139,0.7229166666666667,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.27708333333333335,0.25833333333333336,1.7301784410463035,1.7574186983371727
layers,3_layers,4,"[128, 64, 32]",relu,sgd,32,50,2.406186103820801,0.71875,0.8477912478906585,0.71875,0.7666666666666666,0.8755950357709131,0.7666666666666666,0.28125,0.23333333333333334,1.7187043994613092,1.745459989248212
layers,3_layers,5,"[128, 64, 32]",relu,sgd,32,50,2.160548448562622,0.725,0.85146931829632,0.725,0.7083333333333333,0.8416254115301731,0.7083333333333333,0.275,0.2916666666666667,1.7142634979625497,1.7267799911022224
layers,3_layers,6,"[128, 64, 32]",relu,sgd,32,50,1.7285051345825195,0.6645833333333333,0.8152198067597065,0.6645833333333333,0.6833333333333333,0.8266397845091497,0.6833333333333333,0.33541666666666664,0.31666666666666665,1.6834214870707753,1.73418508621212
layers,3_layers,7,"[128, 64, 32]",relu,sgd,32,50,1.7490124702453613,0.70625,0.8403868156985805,0.70625,0.775,0.8803408430829505,0.775,0.29375,0.225,1.7348840064385602,1.7676581683971047
layers,3_layers,8,"[128, 64, 32]",relu,sgd,32,50,2.3938376903533936,0.7229166666666667,0.8502450627123139,0.7229166666666667,0.775,0.8803408430829505,0.775,0.27708333333333335,0.225,1.7177560768645237,1.74301427455475
layers,3_layers,9,"[128, 64, 32]",relu,sgd,32,50,2.233633041381836,0.6895833333333333,0.8304115445568742,0.6895833333333333,0.7,0.8366600265340756,0.7,0.3104166666666667,0.3,1.7040697853966953,1.7365956970913274
layers,3_layers,10,"[128, 64, 32]",relu,sgd,32,50,4.232522487640381,0.7354166666666666,0.8575643804791956,0.7354166666666666,0.75,0.8660254037844386,0.75,0.26458333333333334,0.25,1.7266245019640856,1.7455558081779021
layers,4_layers,1,"[256, 128, 64, 32]",relu,sgd,32,50,3.57875394821167,0.68125,0.8253787009609589,0.68125,0.7583333333333333,0.8708233651742088,0.7583333333333333,0.31875,0.24166666666666667,1.6885482952853361,1.7081220162831119
layers,4_layers,2,"[256, 128, 64, 32]",relu,sgd,32,50,2.768087148666382,0.7041666666666666,0.8391463916782737,0.7041666666666666,0.8083333333333333,0.8990735972840785,0.8083333333333333,0.29583333333333334,0.19166666666666668,1.6722776421420111,1.7444096654823393
layers,4_layers,3,"[256, 128, 64, 32]",relu,sgd,32,50,2.6389615535736084,0.7208333333333333,0.8490190417966686,0.7208333333333333,0.8166666666666667,0.9036961141150639,0.8166666666666667,0.2791666666666667,0.18333333333333332,1.7176340300821038,1.7572847079764522
layers,4_layers,4,"[256, 128, 64, 32]",relu,sgd,32,50,2.7345523834228516,0.6791666666666667,0.824115687671741,0.6791666666666667,0.7416666666666667,0.8612007121842542,0.7416666666666667,0.32083333333333336,0.25833333333333336,1.6823843492565478,1.7233691309178616
